日期,縣市,表燈非營業用電售電量(度),表燈非營業用電抄表戶數,表燈非營業用電佔比(%),表燈營業用電(住宅用)售電量(度),表燈營業用電(住宅用)抄表戶數,表燈營業用電(住宅用)用電佔比(%),無法歸類之家庭用電(電力用電)售電量(度),無法歸類之家庭用電(電力用電)抄表戶數,無法歸類之家庭用電(電力用電)用電佔比(%),合計
2021年07月,新北市,869721708,950011,0.179,6564668,3762,0.1915,76794645,11399,0.2992,953081021
2021年07月,台北市,543081183,538731,0.1118,2624962,1789,0.0766,63675068,8242,0.2481,609381213
2021年07月,桃園市,423946924,545381,0.0873,3524875,1869,0.1028,26843350,3816,0.1046,454315149
2021年07月,台中市,591620897,782167,0.1218,6314144,4007,0.1842,32676402,4956,0.1273,630611443
2021年07月,台南市,396110199,619144,0.0815,2083564,1664,0.0608,9996327,1574,0.0389,408190090
2021年07月,高雄市,634583943,946215,0.1306,3584605,3209,0.1046,25169596,4434,0.0981,663338144
2021年07月,宜蘭縣,88373121,143657,0.0182,524470,498,0.0153,1223303,315,0.0048,90120894
2021年07月,新竹縣,117125394,159374,0.0241,860537,603,0.0251,5476575,838,0.0213,123462506
2021年07月,苗栗縣,115749556,181591,0.0238,542944,506,0.0158,827679,195,0.0032,117120179
2021年07月,彰化縣,235991315,413496,0.0486,3225094,2878,0.0941,1447491,402,0.0056,240663900
2021年07月,南投縣,72475776,137136,0.0149,491844,464,0.0144,457466,124,0.0018,73425086
2021年07月,雲林縣,138510090,271055,0.0285,731854,775,0.0214,500317,204,0.0019,139742261
2021年07月,嘉義縣,95529484,182653,0.0197,567094,534,0.0165,323143,103,0.0013,96419721
2021年07月,屏東縣,166585846,286844,0.0343,1112561,1289,0.0325,869779,321,0.0034,168568186
2021年07月,台東縣,38522848,60192,0.0079,141012,145,0.0041,276596,84,0.0011,38940456
2021年07月,花蓮縣,62610435,92899,0.0129,142431,102,0.0042,527219,147,0.0021,63280085
2021年07月,基隆市,63884183,89475,0.0131,238736,246,0.007,3300126,941,0.0129,67423045
2021年07月,新竹市,113621235,135605,0.0234,426287,329,0.0124,5267415,932,0.0205,119314937
2021年07月,嘉義市,54864296,82273,0.0113,188677,212,0.0055,884674,247,0.0034,55937647
2021年07月,澎湖縣,20259372,24000,0.0042,202931,182,0.0059,69105,19,0.0003,20531408
2021年07月,金門縣,12798384,18152,0.0026,139148,106,0.0041,47340,48,0.0002,12984872
2021年07月,連江縣,2874373,1996,0.0006,42088,23,0.0012,7460,11,0,2923921
2021年07月,合計,4858840562,6662047,1,34274526,25192,1,256661076,39352,1,5149776164
2021年06月,新北市,684674777,950591,0.1665,5738590,3573,0.1786,71679818,11384,0.2959,762093185
2021年06月,台北市,409193300,506608,0.0995,2407042,1759,0.0749,58880461,8234,0.2431,470480803
2021年06月,桃園市,436843300,631536,0.1062,3460138,2041,0.1077,25375747,3803,0.1048,465679185
2021年06月,台中市,504394428,792767,0.1226,6183860,3881,0.1925,31333607,4952,0.1294,541911895
2021年06月,台南市,362082600,614252,0.088,2255457,1768,0.0702,9752911,1575,0.0403,374090968
2021年06月,高雄市,429199418,732525,0.1044,3081453,2716,0.0959,24500360,4437,0.1012,456781231
2021年06月,宜蘭縣,82434830,153082,0.02,491277,420,0.0153,1177270,315,0.0049,84103377
2021年06月,新竹縣,111763013,171056,0.0272,919028,619,0.0286,5017913,835,0.0207,117699954
2021年06月,苗栗縣,88158255,166443,0.0214,394678,352,0.0123,792690,194,0.0033,89345623
2021年06月,彰化縣,217231745,400899,0.0528,3214524,3071,0.1,1426970,402,0.0059,221873239
2021年06月,南投縣,87932829,167041,0.0214,541008,541,0.0168,467081,123,0.0019,88940918
2021年06月,雲林縣,140161189,276609,0.0341,511847,577,0.0159,514028,204,0.0021,141187064
2021年06月,嘉義縣,85596509,176564,0.0208,453242,451,0.0141,309374,103,0.0013,86359125
2021年06月,屏東縣,153462151,266399,0.0373,1090751,1159,0.0339,902035,320,0.0037,155454937
2021年06月,台東縣,39356406,65910,0.0096,139255,150,0.0043,269896,84,0.0011,39765557
2021年06月,花蓮縣,62270539,98576,0.0151,126233,100,0.0039,600170,146,0.0025,62996942
2021年06月,基隆市,60902739,100679,0.0148,271865,262,0.0085,3188613,941,0.0132,64363217
2021年06月,新竹市,81445354,114105,0.0198,402445,305,0.0125,5018694,929,0.0207,86866493
2021年06月,嘉義市,48872296,81172,0.0119,230992,207,0.0072,879202,247,0.0036,49982490
